,aspect_term,polarity,review_text
11,['bagels'],0,"['the', 'aspect', 'term', 'have', 'an', 'outstanding', 'taste', 'with', 'a', 'terrific', 'texture', 'both', 'chewy', 'yet', 'not', 'gummy']"
12,['food'],0,"['nevertheless', 'the', 'aspect', 'term', 'itself', 'is', 'pretty', 'good']"
13,['songs'],1,"[""i've"", 'noticed', 'megadeth', 'mr', 'scruff', 'st', 'germain', 'traditional', 'vietnamese', 'aspect', 'term', 'black', 'sabbath', 'jay', 'z', 'and', 'daft', 'punk', 'all', 'being', 'played']"
14,['toast'],2,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'aspect', 'term', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']"
15,['mayonnaise'],2,"['they', 'did', 'not', 'have', 'aspect', 'term', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']"
16,['bacon'],2,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'aspect', 'term', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']"
17,['cheese'],1,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'aspect', 'term', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']"
18,['ingredients'],2,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'aspect', 'term', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']"
19,['plate'],1,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'omelet', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'aspect', 'term', 'when', 'you', 'touched', 'it']"
20,['omelet'],1,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', 'ie', 'cheese', 'in', 'an', 'aspect', 'term', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']"
21,['drinks'],1,"['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'check', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit', 'have', 'aspect', 'term', 'and', 'talk']"
22,['check'],1,"['it', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'aspect', 'term', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit', 'have', 'drinks', 'and', 'talk']"
23,['design'],0,"['the', 'aspect', 'term', 'and', 'atmosphere', 'is', 'just', 'as', 'good']"
24,['atmosphere'],0,"['the', 'design', 'and', 'aspect', 'term', 'is', 'just', 'as', 'good']"
25,['cuisine'],0,"['he', 'has', 'visited', 'thailand', 'and', 'is', 'quite', 'expert', 'on', 'the', 'aspect', 'term']"
26,['pizza'],0,"['the', 'aspect', 'term', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza']"
27,"['thin', 'crusted', 'pizza']",1,"['the', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'aspect', 'term']"
28,"['interior', 'decoration']",0,"['all', 'the', 'money', 'went', 'into', 'the', 'aspect', 'term', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs']"
29,['chefs'],2,"['all', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration', 'none', 'of', 'it', 'went', 'to', 'the', 'aspect', 'term']"
30,['seats'],2,"['the', 'aspect', 'term', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches']"
31,"['seltzer', 'with', 'lime']",1,"['i', 'asked', 'for', 'aspect', 'term', 'no', 'ice']"
32,['pickles'],0,"[""don't"", 'go', 'alone', 'even', 'two', 'people', ""isn't"", 'enough', 'for', 'the', 'whole', 'experience', 'with', 'aspect', 'term', 'and', 'a', 'selection', 'of', 'meats', 'and', 'seafoods']"
33,"['selection', 'of', 'meats', 'and', 'seafoods']",0,"[""don't"", 'go', 'alone', 'even', 'two', 'people', ""isn't"", 'enough', 'for', 'the', 'whole', 'experience', 'with', 'pickles', 'and', 'a', 'aspect', 'term']"
34,['dishes'],1,"['my', 'suggestion', 'is', 'to', 'eat', 'family', 'style', 'because', ""you'll"", 'want', 'to', 'try', 'the', 'other', 'aspect', 'term']"
35,"['eat', 'family', 'style']",0,"['my', 'suggestion', 'is', 'to', 'aspect', 'term', 'because', ""you'll"", 'want', 'to', 'try', 'the', 'other', 'dishes']"
36,['vibe'],0,"['best', 'of', 'all', 'is', 'the', 'warm', 'aspect', 'term', 'the', 'owner', 'is', 'super', 'friendly', 'and', 'service', 'is', 'fast']"
37,['owner'],0,"['best', 'of', 'all', 'is', 'the', 'warm', 'vibe', 'the', 'aspect', 'term', 'is', 'super', 'friendly', 'and', 'service', 'is', 'fast']"
38,['service'],0,"['best', 'of', 'all', 'is', 'the', 'warm', 'vibe', 'the', 'owner', 'is', 'super', 'friendly', 'and', 'aspect', 'term', 'is', 'fast']"
39,['delivery'],2,"[""faan's"", 'got', 'a', 'great', 'concept', 'but', 'a', 'little', 'rough', 'on', 'the', 'aspect', 'term']"
40,['food'],0,"['from', 'the', 'incredible', 'aspect', 'term', 'to', 'the', 'warm', 'atmosphere', 'to', 'the', 'friendly', 'service', 'this', 'downtown', 'neighborhood', 'spot', ""doesn't"", 'miss', 'a', 'beat']"
41,['atmosphere'],0,"['from', 'the', 'incredible', 'food', 'to', 'the', 'warm', 'aspect', 'term', 'to', 'the', 'friendly', 'service', 'this', 'downtown', 'neighborhood', 'spot', ""doesn't"", 'miss', 'a', 'beat']"
42,['service'],0,"['from', 'the', 'incredible', 'food', 'to', 'the', 'warm', 'atmosphere', 'to', 'the', 'friendly', 'aspect', 'term', 'this', 'downtown', 'neighborhood', 'spot', ""doesn't"", 'miss', 'a', 'beat']"
43,['food'],0,"['great', 'aspect', 'term', 'at', 'reasonable', 'prices', 'makes', 'for', 'an', 'evening', 'that', ""can't"", 'be', 'beat']"
44,['prices'],0,"['great', 'food', 'at', 'reasonable', 'aspect', 'term', 'makes', 'for', 'an', 'evening', 'that', ""can't"", 'be', 'beat']"
45,"['interior', 'deco']",0,"['this', 'little', 'place', 'has', 'a', 'cute', 'aspect', 'termr', 'and', 'affordable', 'city', 'prices']"
46,['prices'],0,"['this', 'little', 'place', 'has', 'a', 'cute', 'interior', 'decor', 'and', 'affordable', 'city', 'aspect', 'term']"
47,['wine'],0,"['two', 'words', 'free', 'aspect', 'term']"
48,['price'],0,"['the', 'aspect', 'term', 'is', 'reasonable', 'although', 'the', 'service', 'is', 'poor']"
49,['service'],2,"['the', 'price', 'is', 'reasonable', 'although', 'the', 'aspect', 'term', 'is', 'poor']"
50,['quantity'],0,"['the', 'aspect', 'term', 'is', 'also', 'very', 'good', 'you', 'will', 'come', 'out', 'satisfied']"
51,['sushi'],1,"['i', 'stumbled', 'upon', 'this', 'second', 'floor', 'walk', 'up', 'two', 'fridays', 'ago', 'when', 'i', 'was', 'with', 'two', 'friends', 'in', 'town', 'from', 'l', 'a', 'being', 'serious', 'aspect', 'term', 'lovers', 'we', 'sat', 'at', 'the', 'sushi', 'bar', 'to', 'be', 'closer', 'to', 'the', 'action']"
52,"['sushi', 'bar']",1,"['i', 'stumbled', 'upon', 'this', 'second', 'floor', 'walk', 'up', 'two', 'fridays', 'ago', 'when', 'i', 'was', 'with', 'two', 'friends', 'in', 'town', 'from', 'l', 'a', 'being', 'serious', 'sushi', 'lovers', 'we', 'sat', 'at', 'the', 'aspect', 'term', 'to', 'be', 'closer', 'to', 'the', 'action']"
53,"['fried', 'rice']",0,"['the', 'aspect', 'term', 'is', 'amazing', 'here']"
54,['mussels'],0,"['three', 'courses', 'choices', 'include', 'excellent', 'aspect', 'term', 'puff', 'pastry', 'goat', 'cheese', 'and', 'salad', 'with', 'a', 'delicious', 'dressing', 'and', 'a', 'hanger', 'steak', 'au', 'poivre', 'that', 'is', 'out', 'of', 'this', 'world']"
55,"['puff', 'pastry', 'goat', 'cheese']",0,"['three', 'courses', 'choices', 'include', 'excellent', 'mussels', 'aspect', 'term', 'and', 'salad', 'with', 'a', 'delicious', 'dressing', 'and', 'a', 'hanger', 'steak', 'au', 'poivre', 'that', 'is', 'out', 'of', 'this', 'world']"
56,"['salad', 'with', 'a', 'delicious', 'dressing']",0,"['three', 'courses', 'choices', 'include', 'excellent', 'mussels', 'puff', 'pastry', 'goat', 'cheese', 'and', 'aspect', 'term', 'and', 'a', 'hanger', 'steak', 'au', 'poivre', 'that', 'is', 'out', 'of', 'this', 'world']"
57,"['hanger', 'steak', 'au', 'poivre']",0,"['three', 'courses', 'choices', 'include', 'excellent', 'mussels', 'puff', 'pastry', 'goat', 'cheese', 'and', 'salad', 'with', 'a', 'delicious', 'dressing', 'and', 'a', 'aspect', 'term', 'that', 'is', 'out', 'of', 'this', 'world']"
58,['courses'],1,"['three', 'aspect', 'term', 'choices', 'include', 'excellent', 'mussels', 'puff', 'pastry', 'goat', 'cheese', 'and', 'salad', 'with', 'a', 'delicious', 'dressing', 'and', 'a', 'hanger', 'steak', 'au', 'poivre', 'that', 'is', 'out', 'of', 'this', 'world']"
59,"['indian', 'food']",0,"[""it's"", 'a', 'perfect', 'place', 'to', 'have', 'a', 'amanzing', 'aspect', 'term']"
60,['service'],0,"['the', 'place', 'is', 'so', 'cool', 'and', 'the', 'aspect', 'term', 'is', 'prompt', 'and', 'curtious']"
61,['place'],0,"['the', 'aspect', 'term', 'is', 'so', 'cool', 'and', 'the', 'service', 'is', 'prompt', 'and', 'curtious']"
62,"['broth', 'with', 'noodles']",0,"['at', 'the', 'end', ""you're"", 'left', 'with', 'a', 'mild', 'aspect', 'term', 'that', 'you', 'can', 'slurp', 'out', 'of', 'a', 'cup']"
63,['meal'],0,"['i', 'just', 'wonder', 'how', 'you', 'can', 'have', 'such', 'a', 'delicious', 'aspect', 'term', 'for', 'such', 'little', 'money']"
64,['money'],0,"['i', 'just', 'wonder', 'how', 'you', 'can', 'have', 'such', 'a', 'delicious', 'meal', 'for', 'such', 'little', 'aspect', 'term']"
65,"['wine', 'list']",0,"['the', 'aspect', 'term', 'is', 'excellent']"
66,"['thai', 'food']",0,"['ive', 'been', 'to', 'many', 'thai', 'restaurants', 'in', 'manhattan', 'before', 'and', 'toons', 'is', 'by', 'far', 'the', 'best', 'aspect', 'term', 'ive', 'had', 'except', 'for', 'my', ""mom's"", 'of', 'course']"
67,"['glass', 'of', 'wine']",1,"['they', 'wouldnt', 'even', 'let', 'me', 'finish', 'my', 'aspect', 'term', 'before', 'offering', 'another']"
68,['specials'],1,"['whem', 'asked', 'we', 'had', 'to', 'ask', 'more', 'detailed', 'questions', 'so', 'that', 'we', 'knew', 'what', 'the', 'aspect', 'term', 'were']"
69,['lunch'],1,"['this', 'is', 'a', 'consistently', 'great', 'place', 'to', 'dine', 'for', 'aspect', 'term', 'or', 'dinner']"
70,['dinner'],1,"['this', 'is', 'a', 'consistently', 'great', 'place', 'to', 'dine', 'for', 'lunch', 'or', 'aspect', 'term']"
71,['dine'],0,"['this', 'is', 'a', 'consistently', 'great', 'place', 'to', 'aspect', 'term', 'for', 'lunch', 'or', 'dinner']"
72,['atmosphere'],0,"['nice', 'aspect', 'term', 'the', 'service', 'was', 'very', 'pleasant', 'and', 'the', 'desert', 'was', 'good']"
73,['service'],0,"['nice', 'atmosphere', 'the', 'aspect', 'term', 'was', 'very', 'pleasant', 'and', 'the', 'desert', 'was', 'good']"
74,['desert'],0,"['nice', 'atmosphere', 'the', 'service', 'was', 'very', 'pleasant', 'and', 'the', 'aspect', 'term', 'was', 'good']"
75,['bar'],0,"['after', 'really', 'enjoying', 'ourselves', 'at', 'the', 'aspect', 'term', 'we', 'sat', 'down', 'at', 'a', 'table', 'and', 'had', 'dinner']"
76,['table'],1,"['after', 'really', 'enjoying', 'ourselves', 'at', 'the', 'bar', 'we', 'sat', 'down', 'at', 'a', 'aspect', 'term', 'and', 'had', 'dinner']"
77,['dinner'],1,"['after', 'really', 'enjoying', 'ourselves', 'at', 'the', 'bar', 'we', 'sat', 'down', 'at', 'a', 'table', 'and', 'had', 'aspect', 'term']"
78,['service'],0,"['fabulous', 'aspect', 'term', 'fantastic', 'food', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment']"
79,['food'],0,"['fabulous', 'service', 'fantastic', 'aspect', 'term', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment']"
80,['atmosphere'],0,"['fabulous', 'service', 'fantastic', 'food', 'and', 'a', 'chilled', 'out', 'aspect', 'term', 'and', 'environment']"
81,['environment'],0,"['fabulous', 'service', 'fantastic', 'food', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'aspect', 'term']"
82,"['lasagnette', 'appetizer']",0,"['try', 'the', 'aspect', 'term']"
83,"['beer', 'selection']",0,"['i', 'liked', 'the', 'aspect', 'term']"
84,['food'],0,"['great', 'aspect', 'term', 'good', 'size', 'menu', 'great', 'service', 'and', 'an', 'unpretensious', 'setting']"
85,['menu'],0,"['great', 'food', 'good', 'size', 'aspect', 'term', 'great', 'service', 'and', 'an', 'unpretensious', 'setting']"
86,['service'],0,"['great', 'food', 'good', 'size', 'menu', 'great', 'aspect', 'term', 'and', 'an', 'unpretensious', 'setting']"
87,['setting'],0,"['great', 'food', 'good', 'size', 'menu', 'great', 'service', 'and', 'an', 'unpretensious', 'aspect', 'term']"
88,['dinner'],0,"['go', 'here', 'for', 'a', 'romantic', 'aspect', 'term', 'but', 'not', 'for', 'an', 'all', 'out', 'wow', 'dining', 'experience']"
89,['dining'],0,"['go', 'here', 'for', 'a', 'romantic', 'dinner', 'but', 'not', 'for', 'an', 'all', 'out', 'wow', 'aspect', 'term', 'experience']"
90,['dosa'],1,"['i', 'grew', 'up', 'eating', 'aspect', 'term', 'and', 'have', 'yet', 'to', 'find', 'a', 'place', 'in', 'ny', 'to', 'satisfy', 'my', 'taste', 'buds']"
91,"['wine', 'list', 'selection']",0,"['aspect', 'term', 'is', 'good', 'and', 'wine', 'by', 'the', 'glass', 'was', 'generously', 'filled', 'to', 'the', 'top']"
92,"['wine', 'by', 'the', 'glass']",0,"['wine', 'list', 'selection', 'is', 'good', 'and', 'aspect', 'term', 'was', 'generously', 'filled', 'to', 'the', 'top']"
93,['menu'],0,"['with', 'the', 'great', 'variety', 'on', 'the', 'aspect', 'term', 'i', 'eat', 'here', 'often', 'and', 'never', 'get', 'bored']"
94,['menu'],2,"['the', 'aspect', 'term', 'is', 'very', 'limited', 'i', 'think', 'we', 'counted', '4', 'or', '5', 'entrees']"
95,['entrees'],2,"['the', 'menu', 'is', 'very', 'limited', 'i', 'think', 'we', 'counted', '4', 'or', '5', 'aspect', 'term']"
96,['menu'],2,"['the', 'aspect', 'term', 'is', 'limited', 'but', 'almost', 'all', 'of', 'the', 'dishes', 'are', 'excellent']"
97,['dishes'],0,"['the', 'menu', 'is', 'limited', 'but', 'almost', 'all', 'of', 'the', 'aspect', 'term', 'are', 'excellent']"
98,"['sake', 'martini']",2,"['not', 'too', 'crazy', 'about', 'their', 'aspect', 'term']"
99,['bagels'],0,"['great', 'aspect', 'term', 'spreads', 'and', 'a', 'good', 'place', 'to', 'hang', 'out', 'in']"
100,['spreads'],0,"['great', 'bagels', 'aspect', 'term', 'and', 'a', 'good', 'place', 'to', 'hang', 'out', 'in']"
101,['table'],1,"['one', 'thing', 'i', 'liked', 'about', 'this', 'place', 'is', 'that', 'i', 'never', 'felt', 'rushed', 'or', 'pressured', 'to', 'give', 'up', 'my', 'aspect', 'term', 'ot', 'incoming', 'guests']"
102,['food'],0,"['unfortunately', 'the', 'aspect', 'term', 'is', 'outstanding', 'but', 'everything', 'else', 'about', 'this', 'restaurant', 'is', 'the', 'pits']"
103,['meal'],0,"['we', 'always', 'have', 'a', 'delicious', 'aspect', 'term', 'and', 'always', 'leave', 'feeling', 'satisfied']"
104,['ingredients'],1,"['dip', 'the', 'aspect', 'term', 'in', 'with', 'your', 'chopsticks', 'swirl', 'them', 'around', 'and', 'eat']"
105,['chopsticks'],1,"['dip', 'the', 'ingredients', 'in', 'with', 'your', 'aspect', 'term', 'swirl', 'them', 'around', 'and', 'eat']"
106,"['garden', 'terrace']",0,"['first', 'went', 'here', 'to', 'enjoy', 'their', 'aspect', 'term']"
107,['pizza'],0,"['the', 'aspect', 'term', 'was', 'pretty', 'good', 'and', 'huge']"
108,['cuisine'],1,"['the', 'aspect', 'term', 'from', 'what', ""i've"", 'gathered', 'is', 'authentic', 'taiwanese', 'though', 'its', 'very', 'different', 'from', 'what', ""i've"", 'been', 'accustomed', 'to', 'in', 'taipei']"
109,['atmosphere'],0,"['i', 'almost', 'hesititate', 'to', 'write', 'a', 'review', 'because', 'the', 'aspect', 'term', 'was', 'so', 'great', 'and', 'i', 'would', 'hate', 'for', 'it', 'too', 'become', 'to', 'crowded']"
110,['service'],0,"['they', 'are', 'often', 'crowded', 'on', 'the', 'weekends', 'but', 'they', 'are', 'efficient', 'and', 'accurate', 'with', 'their', 'aspect', 'term']"
111,['crowded'],2,"['they', 'are', 'often', 'aspect', 'term', 'on', 'the', 'weekends', 'but', 'they', 'are', 'efficient', 'and', 'accurate', 'with', 'their', 'service']"
112,['dish'],2,"['all', 'my', 'co', 'workers', 'were', 'amazed', 'at', 'how', 'small', 'the', 'aspect', 'term', 'was']"
113,['atmosphere'],0,"['the', 'aspect', 'term', 'is', 'unheralded', 'the', 'service', 'impecible', 'and', 'the', 'food', 'magnificant']"
114,['service'],0,"['the', 'atmosphere', 'is', 'unheralded', 'the', 'aspect', 'term', 'impecible', 'and', 'the', 'food', 'magnificant']"
115,['food'],0,"['the', 'atmosphere', 'is', 'unheralded', 'the', 'service', 'impecible', 'and', 'the', 'aspect', 'term', 'magnificant']"
116,"['grilled', 'branzino']",2,"['we', 'ordered', 'the', 'special', 'aspect', 'term', 'that', 'was', 'so', 'infused', 'with', 'bone', 'it', 'was', 'difficult', 'to', 'eat']"
117,"['wait', 'staff']",0,"['the', 'aspect', 'term', 'is', 'friendly', 'and', 'the', 'food', 'has', 'gotten', 'better', 'and', 'better']"
118,['food'],0,"['the', 'wait', 'staff', 'is', 'friendly', 'and', 'the', 'aspect', 'term', 'has', 'gotten', 'better', 'and', 'better']"
119,['vibe'],0,"['it', 'may', 'be', 'a', 'bit', 'packed', 'on', 'weekends', 'but', 'the', 'aspect', 'term', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'french', 'food', 'you', 'will', 'find', 'in', 'the', 'area']"
120,"['french', 'food']",0,"['it', 'may', 'be', 'a', 'bit', 'packed', 'on', 'weekends', 'but', 'the', 'vibe', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'aspect', 'term', 'you', 'will', 'find', 'in', 'the', 'area']"
121,['packed'],2,"['it', 'may', 'be', 'a', 'bit', 'aspect', 'term', 'on', 'weekends', 'but', 'the', 'vibe', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'french', 'food', 'you', 'will', 'find', 'in', 'the', 'area']"
122,['pizza'],0,"['right', 'off', 'the', 'l', 'in', 'brooklyn', 'this', 'is', 'a', 'nice', 'cozy', 'place', 'with', 'good', 'aspect', 'term']"
123,['place'],0,"['right', 'off', 'the', 'l', 'in', 'brooklyn', 'this', 'is', 'a', 'nice', 'cozy', 'aspect', 'term', 'with', 'good', 'pizza']"
124,"['pre', 'theater', 'menu']",0,"['le', 'pere', 'pinard', 'has', 'a', '15', 'aspect', 'term', 'that', 'is', 'outstanding']"
125,['delivery'],2,"['i', 'also', 'ordered', 'for', 'aspect', 'term', 'and', 'the', 'restaurant', 'forgot', 'half', 'the', 'order']"
126,['order'],2,"['i', 'also', 'ordered', 'for', 'delivery', 'and', 'the', 'restaurant', 'forgot', 'half', 'the', 'aspect', 'term']"
127,['server'],2,"['our', 'aspect', 'term', 'checked', 'on', 'us', 'maybe', 'twice', 'during', 'the', 'entire', 'meal']"
128,['meal'],1,"['our', 'server', 'checked', 'on', 'us', 'maybe', 'twice', 'during', 'the', 'entire', 'aspect', 'term']"
129,['scents'],2,"['the', 'strong', 'aspect', 'term', 'coming', 'from', 'the', 'left', 'and', 'right', 'of', 'me', 'negatively', 'affected', 'my', 'taste', 'buds']"
130,"['lobster', 'sandwich']",0,"['we', 'had', 'the', 'aspect', 'term', 'and', 'it', 'was', 'fantastic']"
131,['check'],2,"['had', 'we', 'been', 'stalling', 'i', 'could', 'understand', 'where', 'they', 'were', 'coming', 'from', 'but', 'we', 'had', 'been', 'there', 'less', 'than', 'an', 'hour', 'and', 'they', ""hadn't"", 'even', 'brought', 'us', 'a', 'aspect', 'term', 'yet']"
132,['price'],0,"['though', 'the', 'spider', 'roll', 'may', 'look', 'like', 'a', 'challenge', 'to', 'eat', 'with', 'soft', 'shell', 'crab', 'hanging', 'out', 'of', 'the', 'roll', 'it', 'is', 'well', 'worth', 'the', 'aspect', 'term', 'you', 'pay', 'for', 'them']"
133,"['shell', 'crab']",0,"['though', 'the', 'spider', 'roll', 'may', 'look', 'like', 'a', 'challenge', 'to', 'eat', 'with', 'soft', 'aspect', 'term', 'hanging', 'out', 'of', 'the', 'roll', 'it', 'is', 'well', 'worth', 'the', 'price', 'you', 'pay', 'for', 'them']"
134,"['deep', 'fried', 'skewers']",0,"['aspect', 'term', 'are', 'good', 'and', 'still', 'rare', 'to', 'find', 'in', 'nyc']"
135,['reservations'],1,"['i', 'have', 'tried', 'to', 'make', 'aspect', 'term', 'but', 'both', 'times', 'the', 'hostess', ""didn't"", 'have', 'my', 'name']"
136,['hostess'],2,"['i', 'have', 'tried', 'to', 'make', 'reservations', 'but', 'both', 'times', 'the', 'aspect', 'term', ""didn't"", 'have', 'my', 'name']"
137,"['rice', 'dishes']",0,"['i', 'also', 'recommend', 'the', 'aspect', 'term', 'or', 'the', 'different', 'varieties', 'of', 'congee', 'rice', 'porridge']"
138,"['congee', 'rice', 'porridge']",0,"['i', 'also', 'recommend', 'the', 'rice', 'dishes', 'or', 'the', 'different', 'varieties', 'of', 'aspect', 'term']"
139,"['tuna', 'tartar', 'appetizer']",0,"['their', 'aspect', 'term', 'is', 'to', 'die', 'for']"
140,['chef'],0,"['an', 'oasis', 'of', 'refinement', 'food', 'though', 'somewhat', 'uneven', 'often', 'reaches', 'the', 'pinnacles', 'of', 'new', 'american', 'fine', 'cuisine', 'aspect', ""term's"", 'passion', 'and', ""kitchen's"", 'precise', 'execution', 'is', 'most', 'evident', 'in', 'the', 'fish', 'dishes', 'and', 'soups']"
141,"['fish', 'dishes']",0,"['an', 'oasis', 'of', 'refinement', 'food', 'though', 'somewhat', 'uneven', 'often', 'reaches', 'the', 'pinnacles', 'of', 'new', 'american', 'fine', 'cuisine', ""chef's"", 'passion', 'and', ""kitchen's"", 'precise', 'execution', 'is', 'most', 'evident', 'in', 'the', 'aspect', 'term', 'and', 'soups']"
142,['soups'],0,"['an', 'oasis', 'of', 'refinement', 'food', 'though', 'somewhat', 'uneven', 'often', 'reaches', 'the', 'pinnacles', 'of', 'new', 'american', 'fine', 'cuisine', ""chef's"", 'passion', 'and', ""kitchen's"", 'precise', 'execution', 'is', 'most', 'evident', 'in', 'the', 'fish', 'dishes', 'and', 'aspect', 'term']"
143,['kitchen'],0,"['an', 'oasis', 'of', 'refinement', 'food', 'though', 'somewhat', 'uneven', 'often', 'reaches', 'the', 'pinnacles', 'of', 'new', 'american', 'fine', 'cuisine', ""chef's"", 'passion', 'and', 'aspect', ""term's"", 'precise', 'execution', 'is', 'most', 'evident', 'in', 'the', 'fish', 'dishes', 'and', 'soups']"
